time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,MEXC:open,MEXC:high,MEXC:low,MEXC:close,MEXC:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume
2025-12-07 10:27,13.812,13.812,13.812,13.812,55.26,13.82000000,13.82000000,13.81000000,13.81000000,30.90000000,,,,,,13.82,13.82,13.81,13.81,21.16,,,,,0.0
2025-12-07 10:28,13.811,13.811,13.8,13.8,652.64,13.81000000,13.81000000,13.81000000,13.81000000,2555.20000000,,,,,,13.81,13.82,13.8,13.8,1533.67,,,,,0.0
2025-12-07 10:29,13.803,13.805,13.803,13.805,1.89,13.81000000,13.81000000,13.79000000,13.81000000,1702.33000000,,,,,,13.8,13.81,13.79,13.8,1200.05,,,,,0.0
2025-12-07 10:30,13.805,13.808,13.802,13.802,11.09,13.80000000,13.81000000,13.80000000,13.80000000,532.54000000,,,,,,13.8,13.81,13.79,13.8,319.07,,,,,0.0
2025-12-07 10:31,13.801,13.801,13.785,13.785,1123.48,13.80000000,13.80000000,13.79000000,13.80000000,119.10000000,,,,,,13.8,13.8,13.79,13.79,71.43,,,,,0.0
2025-12-07 10:32,13.783,13.784,13.768,13.768,96.2,13.79000000,13.79000000,13.76000000,13.76000000,372.64000000,,,,,,13.79,13.79,13.76,13.76,223.66,13.8,13.8,13.8,13.8,2.0
2025-12-07 10:33,13.771,13.777,13.771,13.775,80.76,13.77000000,13.78000000,13.77000000,13.78000000,493.16000000,,,,,,13.76,13.78,13.76,13.78,295.82,13.77487,13.77487,13.77487,13.77487,0.51146762
2025-12-07 10:34,13.773,13.776,13.771,13.773,39.45,13.78000000,13.78000000,13.77000000,13.78000000,793.42000000,,,,,,13.78,13.78,13.77,13.77,481.72,,,,,0.0
2025-12-07 10:35,13.772,13.779,13.772,13.775,18.21,13.77000000,13.78000000,13.77000000,13.78000000,106.47000000,13.775,13.775,13.775,13.775,5.88,13.77,13.78,13.77,13.77,60.71,,,,,0.0
2025-12-07 10:36,13.78,13.781,13.778,13.78,115.31,13.77000000,13.78000000,13.77000000,13.78000000,1524.36000000,,,,,,13.77,13.78,13.77,13.78,914.31,13.77271,13.77271,13.77271,13.77271,0.1521124
2025-12-07 10:37,13.781,13.783,13.779,13.779,0.52,13.77000000,13.78000000,13.77000000,13.78000000,346.50000000,,,,,,13.78,13.78,13.77,13.77,207.94,,,,,0.0
2025-12-07 10:38,13.781,13.788,13.779,13.788,31.71,13.78000000,13.79000000,13.78000000,13.79000000,31.70000000,,,,,,13.77,13.79,13.77,13.79,14.67,13.77271,13.77271,13.77271,13.77271,113.99850767
2025-12-07 10:39,13.789,13.797,13.789,13.797,115.01,13.79000000,13.80000000,13.79000000,13.79000000,321.03000000,,,,,,13.79,13.8,13.78,13.8,196.97,,,,,0.0
2025-12-07 10:40,13.796,13.825,13.792,13.824,1696.97,13.80000000,13.82000000,13.80000000,13.82000000,2131.96000000,,,,,,13.8,13.83,13.8,13.83,640.96,13.79366,13.81552,13.79366,13.81552,49.638216920000005
2025-12-07 10:41,13.826,13.834,13.826,13.832,181.22,13.82000000,13.84000000,13.82000000,13.84000000,1752.57000000,,,,,,13.83,13.84,13.82,13.84,1052.16,13.81552,13.83028,13.81552,13.83028,0.7165199999999999
2025-12-07 10:42,13.832,13.846,13.832,13.841,368.51,13.83000000,13.85000000,13.83000000,13.84000000,1091.08000000,,,,,,13.84,13.85,13.83,13.84,652.15,13.83039,13.83039,13.83039,13.83039,24.93457663
2025-12-07 10:43,13.84,13.848,13.84,13.848,300.55,13.84000000,13.84000000,13.84000000,13.84000000,50.64000000,,,,,,13.84,13.85,13.84,13.85,35.15,13.83327,13.83327,13.83327,13.83327,3.42488478
2025-12-07 10:44,13.846,13.846,13.835,13.836,506.0,13.85000000,13.85000000,13.84000000,13.84000000,1007.93000000,,,,,,13.85,13.85,13.84,13.85,3782.3,,,,,0.0
2025-12-07 10:45,13.835,13.84,13.835,13.84,10.57,13.84000000,13.85000000,13.83000000,13.84000000,2198.00000000,,,,,,13.85,13.85,13.83,13.84,1222.62,,,,,0.0
2025-12-07 10:46,13.841,13.855,13.841,13.855,102.95,13.85000000,13.86000000,13.84000000,13.86000000,767.39000000,,,,,,13.84,13.86,13.84,13.86,506.5,,,,,0.0
2025-12-07 10:47,13.856,13.861,13.854,13.856,588.69,13.86000000,13.86000000,13.85000000,13.85000000,78.38000000,,,,,,13.86,13.86,13.85,13.85,43.63,,,,,0.0
2025-12-07 10:48,13.856,13.864,13.856,13.864,69.31,13.86000000,13.87000000,13.85000000,13.87000000,114.24000000,,,,,,13.85,13.87,13.85,13.86,71.85,13.85953,13.85953,13.85953,13.85953,1.0
2025-12-07 10:49,13.865,13.883,13.865,13.87,539.34,13.87000000,13.88000000,13.86000000,13.86000000,3805.68000000,,,,,,13.86,13.89,13.86,13.86,2283.43,,,,,0.0
2025-12-07 10:50,13.87,13.884,13.87,13.883,60.77,13.87000000,13.89000000,13.87000000,13.89000000,118.43000000,,,,,,13.86,13.89,13.86,13.89,63.55,,,,,0.0
2025-12-07 10:51,13.883,13.895,13.878,13.878,762.52,13.89000000,13.90000000,13.87000000,13.88000000,1171.53000000,13.888,13.89,13.888,13.89,0.4,13.89,13.89,13.87,13.88,703.14,13.87162,13.89722,13.87162,13.88871,770.89364936
2025-12-07 10:52,13.877,13.877,13.874,13.877,62.76,13.87000000,13.88000000,13.87000000,13.87000000,4.96000000,,,,,,13.88,13.88,13.87,13.87,2.97,,,,,0.0
2025-12-07 10:53,13.875,13.875,13.861,13.861,330.74,13.87000000,13.87000000,13.86000000,13.86000000,776.04000000,,,,,,13.87,13.88,13.85,13.86,579.37,13.87329,13.87329,13.87329,13.87329,18.47074486
2025-12-07 10:54,13.859,13.867,13.859,13.861,242.02,13.86000000,13.87000000,13.86000000,13.87000000,109.78000000,,,,,,13.86,13.87,13.86,13.87,61.87,,,,,0.0
2025-12-07 10:55,13.862,13.862,13.846,13.858,1210.51,13.86000000,13.86000000,13.85000000,13.85000000,1822.36000000,,,,,,13.87,13.87,13.84,13.85,989.79,,,,,0.0
2025-12-07 10:56,13.857,13.86,13.851,13.86,171.8,13.86000000,13.86000000,13.85000000,13.86000000,220.44000000,,,,,,13.85,13.87,13.85,13.86,187.12,13.85517,13.85517,13.85515,13.85515,0.54584687
2025-12-07 10:57,13.858,13.858,13.849,13.854,481.61,13.86000000,13.86000000,13.84000000,13.84000000,449.44000000,,,,,,13.86,13.86,13.84,13.84,269.73,,,,,0.0
