iter	Passed	Remaining
581	6058	4351
582	6069	4341
583	6079	4330
584	6089	4319
585	6099	4309
586	6109	4298
587	6119	4287
588	6128	4276
589	6139	4266
590	6151	4256
591	6160	4246
592	6171	4235
593	6181	4225
594	6192	4215
595	6202	4204
596	6214	4194
597	6226	4185
598	6236	4175
599	6246	4164
600	6257	4154
601	6267	4143
602	6278	4133
603	6289	4123
604	6300	4113
605	6311	4103
606	6321	4092
607	6332	4082
608	6341	4071
609	6353	4062
610	6363	4051
611	6375	4041
612	6386	4031
613	6397	4022
614	6408	4011
615	6418	4001
616	6429	3991
617	6440	3981
618	6450	3970
619	6460	3959
620	6469	3948
621	6480	3938
622	6492	3928
623	6503	3918
624	6514	3908
625	6525	3898
626	6535	3887
627	6545	3877
628	6555	3866
629	6564	3855
630	6574	3844
631	6584	3833
632	6595	3823
633	6606	3813
634	6618	3804
635	6628	3793
636	6638	3783
637	6648	3772
638	6658	3761
639	6669	3751
640	6680	3741
641	6692	3731
642	6704	3722
643	6715	3712
644	6726	3702
645	6738	3692
646	6747	3681
647	6757	3670
648	6767	3659
649	6777	3649
650	6788	3639
651	6798	3628
652	6808	3618
653	6818	3607
654	6829	3597
655	6838	3586
656	6849	3575
657	6859	3565
658	6868	3554
659	6878	3543
660	6888	3532
661	6898	3522
662	6908	3511
663	6918	3500
664	6928	3490
665	6938	3479
666	6949	3469
667	6958	3458
668	6968	3447
669	6977	3436
670	6987	3425
671	6997	3415
672	7007	3404
673	7017	3394
674	7027	3383
675	7037	3372
676	7046	3361
677	7055	3350
678	7064	3339
679	7074	3329
680	7084	3318
681	7095	3308
682	7104	3297
683	7114	3286
684	7123	3275
685	7132	3264
686	7141	3253
687	7150	3242
688	7159	3231
689	7168	3220
690	7179	3210
691	7190	3200
692	7199	3189
693	7208	3178
694	7218	3167
695	7227	3156
696	7236	3146
697	7246	3135
698	7256	3124
699	7267	3114
700	7277	3104
701	7286	3093
702	7296	3082
703	7305	3071
704	7314	3060
705	7324	3050
706	7333	3039
707	7344	3028
708	7353	3018
709	7365	3008
710	7374	2997
711	7383	2986
712	7392	2975
713	7402	2964
714	7411	2954
715	7421	2943
716	7432	2933
717	7443	2923
718	7455	2913
719	7464	2902
720	7475	2892
721	7484	2881
722	7494	2871
723	7502	2860
724	7513	2849
725	7522	2838
726	7532	2828
727	7541	2817
728	7551	2807
729	7561	2796
730	7572	2786
731	7581	2775
732	7590	2765
733	7600	2754
734	7610	2743
735	7619	2733
736	7628	2722
737	7637	2711
738	7646	2700
739	7656	2690
740	7666	2679
741	7675	2668
742	7684	2657
743	7694	2647
744	7705	2637
745	7715	2626
746	7725	2616
747	7735	2606
748	7744	2595
749	7753	2584
750	7763	2573
751	7772	2563
752	7782	2552
753	7793	2542
754	7802	2531
755	7811	2521
756	7822	2510
757	7831	2500
758	7840	2489
759	7849	2478
760	7859	2468
761	7869	2458
762	7880	2447
763	7889	2437
764	7900	2426
765	7910	2416
766	7920	2406
767	7930	2395
768	7939	2385
769	7950	2374
770	7961	2364
771	7970	2354
772	7981	2343
773	7989	2332
774	8000	2322
775	8009	2311
776	8018	2301
777	8027	2290
778	8038	2280
779	8047	2269
780	8056	2259
781	8066	2248
782	8077	2238
783	8086	2227
784	8095	2217
785	8104	2206
786	8114	2196
787	8123	2185
788	8132	2174
789	8142	2164
790	8152	2154
791	8162	2143
792	8172	2133
793	8181	2122
794	8190	2112
795	8200	2101
796	8210	2091
797	8220	2080
798	8230	2070
799	8239	2059
800	8248	2049
801	8258	2038
802	8267	2028
803	8277	2017
804	8287	2007
805	8296	1996
806	8305	1986
807	8315	1975
808	8324	1965
809	8334	1954
810	8344	1944
811	8353	1934
812	8362	1923
813	8372	1913
814	8380	1902
815	8390	1891
816	8400	1881
817	8409	1871
818	8419	1860
819	8428	1850
820	8439	1839
821	8448	1829
822	8457	1818
823	8467	1808
824	8478	1798
825	8487	1787
826	8497	1777
827	8506	1767
828	8515	1756
829	8524	1746
830	8535	1735
831	8545	1725
832	8555	1715
833	8565	1704
834	8574	1694
835	8584	1684
836	8594	1673
837	8604	1663
838	8613	1652
839	8624	1642
840	8635	1632
841	8644	1622
842	8653	1611
843	8664	1601
844	8673	1591
845	8683	1580
846	8692	1570
847	8702	1559
848	8712	1549
849	8721	1539
850	8730	1528
851	8739	1518
852	8749	1507
853	8757	1497
854	8767	1486
855	8777	1476
856	8785	1466
857	8796	1455
858	8805	1445
859	8814	1434
860	8825	1424
861	8834	1414
862	8843	1403
863	8853	1393
864	8862	1383
865	8873	1373
866	8882	1362
867	8894	1352
868	8903	1342
869	8913	1331
870	8922	1321
871	8931	1311
872	8941	1300
873	8951	1290
874	8962	1280
875	8972	1270
876	8981	1259
877	8992	1249
878	9002	1239
879	9011	1228
880	9021	1218
881	9032	1208
882	9041	1198
883	9051	1187
884	9061	1177
885	9072	1167
886	9084	1157
887	9094	1147
888	9104	1136
889	9114	1126
890	9124	1116
891	9135	1106
892	9144	1095
893	9153	1085
894	9164	1075
895	9175	1064
896	9185	1054
897	9194	1044
898	9204	1034
899	9214	1023
900	9224	1013
901	9233	1003
902	9243	992
903	9252	982
904	9261	972
905	9270	961
906	9279	951
907	9289	941
908	9297	930
909	9306	920
910	9317	910
911	9326	899
912	9335	889
913	9343	879
914	9352	868
915	9362	858
916	9371	848
917	9380	837
918	9390	827
919	9398	817
920	9407	806
921	9417	796
922	9426	786
923	9436	776
924	9445	765
925	9454	755
926	9464	745
927	9474	735
928	9483	724
929	9494	714
930	9505	704
931	9516	694
932	9525	684
933	9535	673
934	9544	663
935	9554	653
936	9563	642
937	9572	632
938	9581	622
939	9591	612
940	9601	602
941	9610	591
942	9620	581
943	9632	571
944	9641	561
945	9651	550
946	9661	540
947	9671	530
948	9681	520
949	9690	510
950	9699	499
951	9710	489
952	9719	479
953	9728	469
954	9740	458
955	9749	448
956	9758	438
957	9768	428
958	9778	418
959	9787	407
960	9797	397
961	9806	387
962	9815	377
963	9825	366
964	9835	356
965	9845	346
966	9855	336
967	9865	326
968	9874	315
969	9883	305
970	9893	295
971	9902	285
972	9911	275
973	9920	264
974	9929	254
975	9940	244
976	9949	234
977	9958	224
978	9968	213
979	9979	203
980	9989	193
981	9999	183
982	10009	173
983	10019	162
984	10028	152
985	10038	142
986	10048	132
987	10058	122
988	10067	111
989	10077	101
990	10086	91
991	10095	81
992	10105	71
993	10114	61
994	10123	50
995	10133	40
996	10143	30
997	10152	20
998	10161	10
999	10170	0
