time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume
2024-09-07 16:32,2295.88,2296.16,2295.0,2295.0,6.22525507,2296.09000000,2296.09000000,2295.21000000,2295.21000000,50.14220000,,,,,
2024-09-07 16:33,2295.03,2295.79,2291.47,2292.36,98.58024138,2295.22000000,2295.71000000,2291.43000000,2292.52000000,545.04410000,2302.6,2302.6,2301.4,2301.4,8.3778307
2024-09-07 16:34,2292.26,2293.32,2291.27,2291.73,65.90680623,2292.52000000,2293.40000000,2291.23000000,2291.59000000,240.46300000,2300.1,2301.4,2299.4,2299.4,4.34715202
2024-09-07 16:35,2291.46,2293.62,2291.41,2293.48,41.89403125,2291.60000000,2293.54000000,2291.59000000,2293.54000000,217.72670000,2299.4,2300.9,2299.4,2300.9,5.66194
2024-09-07 16:36,2293.11,2293.11,2289.9,2290.49,28.43089825,2293.53000000,2293.53000000,2290.10000000,2290.80000000,116.44270000,2300.9,2300.9,2299.3,2299.3,0.19342193000000002
2024-09-07 16:37,2290.69,2290.72,2287.18,2287.56,73.52643075,2290.80000000,2290.80000000,2287.17000000,2287.78000000,468.14680000,2297.7,2297.7,2296.8,2296.8,0.185
2024-09-07 16:38,2287.8,2288.37,2283.66,2284.61,251.07359338,2287.78000000,2288.24000000,2283.91000000,2284.36000000,1054.64970000,2293.8,2293.8,2291.6,2292.5,3.57419958
2024-09-07 16:39,2284.61,2288.19,2284.61,2288.19,39.91266787,2284.37000000,2288.16000000,2284.36000000,2288.16000000,265.89290000,2293.2,2294.3,2293.0,2293.0,2.56324472
2024-09-07 16:40,2288.01,2289.36,2287.77,2288.9,19.06316308,2288.16000000,2288.99000000,2287.70000000,2288.99000000,74.96960000,2296.5,2296.6,2296.3,2296.3,0.50251242
2024-09-07 16:41,2288.9,2289.59,2285.74,2285.74,168.20782599,2289.00000000,2289.59000000,2285.26000000,2285.46000000,380.39160000,2296.9,2296.9,2294.6,2294.6,9.79053244
2024-09-07 16:42,2285.39,2289.11,2285.35,2289.08,71.36239015,2285.60000000,2288.88000000,2285.59000000,2288.88000000,243.19710000,2295.2,2296.8,2295.2,2296.8,0.6401214
2024-09-07 16:43,2288.81,2289.23,2285.48,2286.1,79.58566498,2288.88000000,2288.88000000,2285.84000000,2286.55000000,691.92480000,2294.9,2294.9,2293.9,2293.9,0.37778788
2024-09-07 16:44,2286.25,2291.92,2286.25,2291.49,135.84910285,2286.54000000,2291.70000000,2286.54000000,2291.31000000,649.00200000,2294.6,2299.0,2294.6,2299.0,3.82363409
2024-09-07 16:45,2290.83,2292.33,2290.75,2291.9,15.98494517,2291.32000000,2292.20000000,2290.80000000,2292.02000000,138.91380000,2299.9,2299.9,2299.9,2299.9,0.08479745
2024-09-07 16:46,2292.23,2293.37,2291.42,2292.87,97.52524471,2292.10000000,2293.04000000,2291.48000000,2292.59000000,173.94490000,2299.9,2299.9,2299.6,2299.9,6.89022495
2024-09-07 16:47,2292.6,2292.6,2288.57,2288.94,89.71585658,2292.60000000,2292.69000000,2288.51000000,2289.19000000,310.76940000,2300.3,2300.3,2299.0,2299.0,1.06180291
2024-09-07 16:48,2288.9,2289.3,2288.1,2288.53,5.77758611,2289.19000000,2289.37000000,2288.30000000,2288.60000000,78.73820000,,,,,
2024-09-07 16:49,2288.7,2290.51,2288.54,2289.54,51.40317964,2288.59000000,2290.40000000,2288.59000000,2289.23000000,155.79200000,2296.7,2297.9,2296.7,2297.7,0.6032348599999999
2024-09-07 16:50,2289.17,2290.04,2288.6,2288.92,50.7588143,2289.24000000,2289.80000000,2288.81000000,2289.25000000,64.71290000,2296.9,2297.5,2296.9,2297.5,0.13852905
2024-09-07 16:51,2288.63,2289.3,2288.28,2288.8,6.624805,2289.25000000,2289.38000000,2288.44000000,2288.77000000,72.46110000,2296.9,2296.9,2296.9,2296.9,0.37116127
2024-09-07 16:52,2288.52,2288.89,2287.52,2288.66,9.94296373,2288.77000000,2288.77000000,2287.64000000,2288.72000000,86.56710000,2295.8,2296.5,2295.7,2296.5,0.45619999
2024-09-07 16:53,2288.71,2289.89,2288.69,2289.66,27.78388792,2288.72000000,2289.66000000,2288.72000000,2289.66000000,152.04550000,,,,,
2024-09-07 16:54,2289.66,2289.88,2288.24,2288.29,8.7972684,2289.66000000,2289.95000000,2288.06000000,2288.06000000,111.01590000,2297.1,2297.1,2295.9,2295.9,0.68768675
2024-09-07 16:55,2288.02,2288.3,2286.29,2286.7,17.18024807,2288.07000000,2288.25000000,2286.45000000,2286.80000000,86.28020000,2294.9,2294.9,2294.9,2294.9,0.10294509
2024-09-07 16:56,2286.87,2290.35,2286.21,2290.19,11.61661894,2286.80000000,2290.34000000,2286.35000000,2290.34000000,197.73480000,2294.4,2296.7,2294.4,2296.7,1.00953122
2024-09-07 16:57,2290.32,2291.11,2289.86,2290.82,10.02122957,2290.34000000,2290.96000000,2289.99000000,2290.76000000,73.84180000,2298.2,2298.2,2298.2,2298.2,0.08472021
2024-09-07 16:58,2290.76,2292.01,2289.58,2290.02,8.46096418,2290.76000000,2291.80000000,2289.99000000,2290.00000000,39.06630000,2298.5,2298.5,2298.5,2298.5,0.45560263
2024-09-07 16:59,2289.93,2290.27,2288.73,2288.73,2.09944915,2289.99000000,2290.34000000,2289.06000000,2289.07000000,42.66010000,,,,,
2024-09-07 17:00,2288.94,2290.85,2288.48,2290.85,58.54327077,2289.06000000,2290.94000000,2288.92000000,2290.93000000,129.80830000,2296.8,2297.3,2296.8,2297.3,2.45534374
2024-09-07 17:01,2290.84,2291.1,2287.8,2288.46,19.99148871,2290.93000000,2290.93000000,2288.17000000,2288.51000000,132.38060000,2296.2,2296.2,2296.0,2296.0,0.13
2024-09-07 17:02,2288.37,2289.34,2287.63,2289.34,7.24559148,2288.50000000,2289.40000000,2287.80000000,2289.39000000,92.84780000,2295.6,2295.6,2295.6,2295.6,0.624
2024-09-07 17:03,2289.31,2289.97,2289.19,2289.76,8.82745752,2289.39000000,2289.80000000,2289.19000000,2289.79000000,32.76390000,,,,,
2024-09-07 17:04,2289.83,2289.98,2288.62,2288.86,39.31675025,2289.80000000,2289.95000000,2289.09000000,2289.16000000,224.32310000,2297.0,2297.0,2297.0,2297.0,0.07382327
2024-09-07 17:05,2288.97,2289.52,2288.36,2289.34,20.2138862,2289.16000000,2289.59000000,2288.52000000,2289.58000000,87.21310000,,,,,
2024-09-07 17:06,2288.93,2291.3,2288.93,2291.3,7.11393142,2289.59000000,2291.60000000,2289.43000000,2291.41000000,86.78410000,2297.7,2299.3,2297.7,2299.2,1.35003861
2024-09-07 17:07,2291.1,2292.5,2289.4,2289.52,22.46478927,2291.41000000,2292.37000000,2289.43000000,2289.43000000,173.66430000,2299.5,2299.6,2298.7,2298.7,0.69054649
2024-09-07 17:08,2289.22,2289.94,2288.22,2289.25,68.50692412,2289.43000000,2290.03000000,2288.94000000,2289.43000000,261.46800000,2297.5,2297.8,2297.1,2297.8,0.36004621000000003
2024-09-07 17:09,2289.24,2289.62,2288.69,2289.61,19.14662259,2289.43000000,2289.86000000,2289.06000000,2289.85000000,40.32120000,2297.5,2297.5,2297.1,2297.1,0.20592697999999998
2024-09-07 17:10,2289.28,2290.33,2287.58,2288.2,62.0708434,2289.86000000,2290.56000000,2287.40000000,2288.39000000,296.42000000,2297.7,2298.2,2296.5,2296.5,4.53951597
2024-09-07 17:11,2288.2,2288.94,2286.13,2288.55,57.80218547,2288.40000000,2288.77000000,2286.38000000,2288.36000000,289.86340000,2295.3,2295.3,2295.0,2295.2,0.39410792
2024-09-07 17:12,2288.39,2289.73,2287.87,2288.54,55.12396172,2288.39000000,2289.80000000,2288.01000000,2288.60000000,156.49360000,2296.9,2297.3,2296.2,2297.3,0.69123575
2024-09-07 17:13,2288.69,2290.78,2288.6,2290.39,53.7490996,2288.60000000,2290.57000000,2288.60000000,2290.56000000,139.95830000,,,,,
2024-09-07 17:14,2290.24,2291.9,2289.91,2291.9,18.68071077,2290.56000000,2291.96000000,2290.35000000,2291.96000000,116.13680000,2298.4,2299.5,2298.4,2299.5,0.14706865000000002
2024-09-07 17:15,2291.44,2291.48,2290.19,2290.4,9.82734995,2291.95000000,2291.95000000,2290.27000000,2290.52000000,70.35610000,2299.8,2299.8,2298.2,2298.2,0.64024336
2024-09-07 17:16,2290.3,2291.02,2289.48,2290.3,11.58883919,2290.53000000,2290.82000000,2289.43000000,2290.35000000,57.28970000,2297.9,2297.9,2297.9,2297.9,0.37886839
2024-09-07 17:17,2290.15,2290.4,2287.49,2289.52,145.51383186,2290.34000000,2290.46000000,2287.93000000,2289.81000000,181.71310000,2297.6,2297.6,2295.5,2295.5,0.90983123
2024-09-07 17:18,2289.65,2290.47,2288.84,2288.95,21.12832561,2289.81000000,2290.57000000,2289.20000000,2289.20000000,41.13740000,2297.4,2297.4,2297.4,2297.4,0.06939647
2024-09-07 17:19,2288.95,2292.04,2288.8,2291.66,11.76149371,2289.20000000,2292.20000000,2289.20000000,2291.91000000,88.06200000,2296.8,2300.0,2296.8,2300.0,0.51737133
2024-09-07 17:20,2291.65,2291.87,2290.85,2291.31,10.98512571,2291.91000000,2291.92000000,2291.23000000,2291.65000000,29.35720000,2299.6,2299.6,2299.6,2299.6,0.05959548
2024-09-07 17:21,2291.29,2291.64,2289.54,2289.74,9.41247299,2291.65000000,2291.79000000,2289.85000000,2289.86000000,71.41830000,2299.2,2299.2,2298.0,2298.1,0.56140766
2024-09-07 17:22,2289.72,2290.34,2289.51,2289.99,4.01241176,2289.85000000,2290.53000000,2289.85000000,2290.21000000,49.50660000,,,,,
2024-09-07 17:23,2290.28,2291.24,2290.27,2291.24,10.24348634,2290.20000000,2291.19000000,2290.20000000,2291.19000000,37.06670000,2297.6,2297.6,2297.6,2297.6,0.45585606
2024-09-07 17:24,2291.04,2291.07,2289.64,2289.71,9.03534674,2291.18000000,2291.18000000,2290.03000000,2290.29000000,59.99700000,2299.0,2299.0,2298.0,2298.0,0.09972512
2024-09-07 17:25,2290.04,2291.0,2290.04,2290.06,25.71936264,2290.30000000,2291.09000000,2290.00000000,2290.88000000,104.01430000,2297.9,2297.9,2297.9,2297.9,0.45583648
