time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,MEXC:open,MEXC:high,MEXC:low,MEXC:close,MEXC:volume,GATEIO:open,GATEIO:high,GATEIO:low,GATEIO:close,GATEIO:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume
2025-12-07 21:37,2.0648,2.0651,2.0629,2.0637,141818.000321,2.06440000,2.06480000,2.06300000,2.06430000,62590.50000000,2.066,2.066,2.065,2.065,17.6,2.0647,2.0651,2.0629,2.0643,31365.67,2.065,2.065,2.063,2.064,54746.38884700,2.06525,2.06526,2.06465,2.06465,6436.2880606300005
2025-12-07 21:38,2.0643,2.0643,2.0613,2.0617,296584.242684,2.06430000,2.06430000,2.06110000,2.06170000,96018.00000000,2.0649,2.0649,2.064,2.064,85.96797877,2.0643,2.0643,2.0614,2.0619,31172.26,2.064,2.064,2.062,2.062,35365.60346100,2.06466,2.06466,2.06292,2.06292,5374.197496340001
2025-12-07 21:39,2.0618,2.0619,2.0593,2.0597,137177.251534,2.06170000,2.06190000,2.05930000,2.05970000,155638.30000000,2.0631,2.0631,2.062,2.062,25.6,2.0619,2.062,2.0593,2.0598,73278.27,2.062,2.062,2.059,2.06,40731.03231800,2.06292,2.06292,2.05965,2.0598,67079.17345836
2025-12-07 21:40,2.0596,2.0621,2.0596,2.0605,39042.903726,2.05970000,2.06210000,2.05970000,2.06070000,37602.50000000,,,,,,2.0598,2.0623,2.0598,2.0609,13461.99,2.06,2.063,2.06,2.061,95687.25696400,2.0604,2.06195,2.0604,2.06077,3903.64245264
2025-12-07 21:41,2.0605,2.0613,2.0598,2.0608,11665.930787,2.06060000,2.06120000,2.05960000,2.06090000,85741.80000000,,,,,,2.0609,2.0613,2.06,2.061,35324.9,2.06,2.062,2.06,2.062,58804.71007800,2.06051,2.06079,2.06041,2.06056,493.44158
2025-12-07 21:42,2.0611,2.0611,2.0561,2.0575,167478.689813,2.06090000,2.06120000,2.05730000,2.05760000,117225.70000000,2.0611,2.0611,2.0591,2.0591,341.16519283,2.061,2.0615,2.0573,2.0575,48893.05,2.062,2.062,2.057,2.058,78337.40238100,2.0604,2.0604,2.0575,2.05754,8508.69123246
2025-12-07 21:43,2.0576,2.0596,2.0576,2.0584,27522.093218,2.05760000,2.05980000,2.05760000,2.05870000,52129.30000000,2.0598,2.06,2.0598,2.06,100.0,2.0575,2.06,2.0575,2.0587,21655.77,2.058,2.06,2.058,2.058,92934.72386500,2.059,2.05956,2.05852,2.05867,965.42247314
2025-12-07 21:44,2.0585,2.0604,2.0579,2.0595,153236.195044,2.05870000,2.06060000,2.05840000,2.05960000,79472.90000000,2.0605,2.0605,2.0605,2.0605,4.0,2.0587,2.0608,2.0586,2.0596,36414.46,2.059,2.06,2.058,2.06,19424.98553100,2.05871,2.05872,2.05871,2.05872,4769.20847526
2025-12-07 21:45,2.0597,2.0603,2.0566,2.0566,124731.892049,2.05970000,2.06050000,2.05660000,2.05660000,52863.00000000,2.0594,2.0594,2.0573,2.0574,4074.0,2.0596,2.0605,2.057,2.057,17535.55,2.06,2.061,2.057,2.057,67834.93408100,2.05963,2.05963,2.05871,2.05871,532.50256073
2025-12-07 21:46,2.0565,2.0608,2.0546,2.0608,193671.734558,2.05660000,2.06060000,2.05510000,2.06060000,140655.40000000,2.0576,2.0619,2.055,2.0619,8609.281360930001,2.057,2.0605,2.0544,2.0604,84836.36,2.056,2.061,2.055,2.061,71657.57684000,2.05737,2.06,2.05584,2.05999,8414.649451969999
2025-12-07 21:47,2.0606,2.0608,2.056,2.0571,42768.341657,2.06060000,2.06060000,2.05620000,2.05690000,37230.30000000,2.0616,2.0616,2.0581,2.0581,98.0,2.0604,2.0604,2.0558,2.0566,13880.13,2.061,2.061,2.056,2.057,74297.89209500,2.06,2.06,2.0562,2.05654,1806.01562503
2025-12-07 21:48,2.0567,2.0567,2.0507,2.0508,128566.800986,2.05690000,2.05690000,2.05100000,2.05110000,200677.90000000,2.0577,2.0577,2.0521,2.0521,12240.0,2.0566,2.0566,2.0506,2.0507,109000.78,2.057,2.057,2.051,2.051,82746.66164700,2.05598,2.05599,2.0525,2.0525,23200.65921995
2025-12-07 21:49,2.0511,2.0526,2.049,2.0513,130315.253262,2.05110000,2.05290000,2.04920000,2.05140000,153715.90000000,2.0525,2.0525,2.0498,2.0498,274.35962093,2.0507,2.0528,2.0493,2.0513,84194.45,2.051,2.053,2.05,2.051,78605.21487700,2.052,2.052,2.04953,2.05127,11607.79074559
2025-12-07 21:50,2.0512,2.0523,2.0493,2.0496,56534.521305,2.05140000,2.05220000,2.04910000,2.04960000,45971.90000000,,,,,,2.0513,2.0524,2.0489,2.0498,20617.65,2.052,2.053,2.049,2.049,104615.39074200,2.05206,2.05227,2.04955,2.04988,12132.74123564
2025-12-07 21:51,2.0496,2.0498,2.0477,2.0485,19760.206056,2.04970000,2.04970000,2.04760000,2.04870000,96637.70000000,2.0498,2.0498,2.0498,2.0498,8.0,2.0498,2.0499,2.0475,2.0488,43077.86,2.05,2.05,2.048,2.049,118419.05355400,2.04969,2.04969,2.048,2.048,98587.32969212999
2025-12-07 21:52,2.0485,2.0494,2.0469,2.0473,53307.259847,2.04880000,2.04950000,2.04680000,2.04700000,69518.50000000,2.048,2.0485,2.048,2.0485,150.0,2.0488,2.0499,2.0471,2.0473,36491.84,2.048,2.049,2.047,2.047,98492.98090700,2.04859,2.04875,2.04754,2.04763,69384.27837015
2025-12-07 21:53,2.0471,2.0475,2.0456,2.0458,13691.724473,2.04700000,2.04750000,2.04560000,2.04570000,144312.10000000,2.0479,2.0479,2.047,2.047,158.0,2.0473,2.0477,2.0456,2.0459,57004.43,2.047,2.047,2.045,2.045,99780.89581400,2.04763,2.04763,2.04547,2.04547,5415.41003782
2025-12-07 21:54,2.0457,2.0457,2.0428,2.0433,84206.47833,2.04570000,2.04570000,2.04290000,2.04330000,133923.20000000,2.0467,2.0467,2.0436,2.0451,8166.0,2.0459,2.0459,2.0427,2.0435,56124.73,2.046,2.046,2.043,2.043,103312.50441700,2.04567,2.04567,2.04403,2.04403,5924.25894304
2025-12-07 21:55,2.0428,2.045,2.0405,2.0421,33839.198905,2.04330000,2.04500000,2.04050000,2.04200000,139162.50000000,2.0427,2.0458,2.0419,2.0438,213.15404904,2.0435,2.0447,2.0404,2.0419,129909.9,2.043,2.045,2.041,2.042,53680.19619300,2.04403,2.04431,2.04167,2.04167,3874.5983794999997
2025-12-07 21:56,2.0421,2.0427,2.0356,2.0369,143750.054896,2.04200000,2.04280000,2.03540000,2.03660000,265915.80000000,2.0429,2.0429,2.0364,2.0364,4246.46834607,2.0419,2.0425,2.035,2.0361,108727.71,2.042,2.042,2.035,2.037,111726.29465500,2.04218,2.04218,2.03707,2.03708,12966.72962464
2025-12-07 21:57,2.0368,2.039,2.0362,2.039,116167.376739,2.03670000,2.03890000,2.03630000,2.03890000,102581.50000000,2.0383,2.0396,2.0374,2.0396,5320.0,2.0361,2.0388,2.036,2.0388,45336.36,2.037,2.038,2.036,2.038,97071.79650400,2.03709,2.03908,2.037,2.039,14079.45377705
2025-12-07 21:58,2.0392,2.0445,2.0385,2.0444,64644.157991,2.03900000,2.04440000,2.03850000,2.04420000,115657.00000000,2.0403,2.0447,2.0403,2.0447,28.0,2.0388,2.0443,2.0381,2.0437,52694.46,2.039,2.044,2.038,2.044,105909.87398900,2.03944,2.04374,2.03944,2.04374,115.88982129
2025-12-07 21:59,2.0446,2.0513,2.0446,2.049,150241.023525,2.04420000,2.05130000,2.04410000,2.04910000,145218.30000000,2.0449,2.0517,2.0449,2.0517,703.55126308,2.0437,2.0512,2.0437,2.0488,96422.38,2.044,2.051,2.044,2.049,101659.21313300,2.04443,2.05043,2.04443,2.04973,94554.30552806
2025-12-07 22:00,2.0489,2.0489,2.0449,2.0455,67405.60874,2.04900000,2.04900000,2.04500000,2.04560000,67019.70000000,2.0492,2.0492,2.0467,2.0467,2115.2412981,2.0488,2.0488,2.0448,2.0453,52555.5,2.047,2.047,2.045,2.046,123051.73582100,2.04973,2.04973,2.04607,2.04607,19070.202306119998
2025-12-07 22:01,2.0459,2.0462,2.0401,2.042,45926.586791,2.04560000,2.04600000,2.04040000,2.04180000,51926.50000000,2.0466,2.0466,2.0423,2.0423,128.0,2.0453,2.0461,2.0399,2.0416,31687.39,2.046,2.046,2.04,2.042,120008.85389500,2.04606,2.04606,2.04155,2.04155,37687.15494515
2025-12-07 22:02,2.0423,2.0426,2.0405,2.0407,32752.735462,2.04180000,2.04270000,2.04050000,2.04050000,37867.10000000,2.0429,2.0429,2.0429,2.0429,50.0,2.0416,2.0423,2.0401,2.0402,12137.92,2.042,2.043,2.04,2.041,125992.70250600,2.04222,2.04223,2.04139,2.04139,5076.56114494
2025-12-07 22:03,2.0406,2.0421,2.0385,2.0403,187524.572785,2.04040000,2.04210000,2.03830000,2.03990000,180882.00000000,2.0416,2.0421,2.04,2.0421,152.0,2.0402,2.0419,2.038,2.0399,75905.48,2.04,2.042,2.039,2.04,99245.99107500,2.04138,2.04138,2.03988,2.0402,15530.69802712
2025-12-07 22:04,2.0399,2.0407,2.036,2.0361,85198.238837,2.03990000,2.04040000,2.03600000,2.03600000,102469.10000000,2.0404,2.0404,2.0375,2.0375,82.0,2.0399,2.0403,2.0355,2.0357,48087.98,2.04,2.04,2.036,2.036,149554.33078400,2.04068,2.04068,2.03586,2.03586,86062.95760736
2025-12-07 22:05,2.036,2.036,2.025,2.025,284244.243018,2.03590000,2.03590000,2.02540000,2.02540000,422885.40000000,2.0368,2.0368,2.0276,2.0285,16046.9,2.0357,2.0359,2.0252,2.0255,185334.45,2.035,2.036,2.025,2.026,145248.17653500,2.03579,2.03579,2.027,2.027,57160.40414946
2025-12-07 22:06,2.025,2.0264,2.0196,2.0196,325329.56881,2.02540000,2.02620000,2.01950000,2.01950000,420061.20000000,2.0266,2.0266,2.0222,2.0231,2243.74290525,2.0255,2.0266,2.02,2.0201,191218.24,2.026,2.026,2.02,2.02,92897.92709400,2.027,2.027,2.021,2.021,62506.235035310005
2025-12-07 22:07,2.0197,2.0209,2.0125,2.0127,391152.718194,2.01960000,2.01980000,2.01230000,2.01250000,611800.30000000,2.0211,2.0211,2.0143,2.0143,4611.78953565,2.0201,2.0203,2.0121,2.0134,540535.58,2.019,2.019,2.013,2.013,135046.70315100,2.02061,2.02061,2.01313,2.01313,57984.85565793
2025-12-07 22:08,2.0126,2.0234,2.0123,2.0229,208262.02933,2.01240000,2.02320000,2.01240000,2.02270000,281868.50000000,2.0206,2.0254,2.0206,2.0254,1020.0,2.0134,2.0236,2.012,2.0228,118388.11,2.013,2.022,2.013,2.022,109905.68487400,2.01423,2.02254,2.01423,2.02254,5702.472484960001
2025-12-07 22:09,2.0229,2.0262,2.018,2.0252,192783.310681,2.02270000,2.02590000,2.01780000,2.02470000,130665.10000000,2.0258,2.0282,2.0213,2.0282,5105.809361,2.0228,2.026,2.0178,2.0246,63810.39,2.023,2.026,2.018,2.025,118358.30545100,2.02393,2.02571,2.0182,2.02526,5168.00019155
2025-12-07 22:10,2.025,2.0346,2.0239,2.0346,180870.28728,2.02470000,2.03570000,2.02390000,2.03540000,409090.10000000,2.0275,2.0374,2.0275,2.0374,5181.1401193,2.0246,2.036,2.0237,2.0356,187430.12,2.025,2.036,2.023,2.036,272885.04597300,2.0254,2.03455,2.0254,2.03455,10589.16740638
2025-12-07 22:11,2.0324,2.0376,2.0322,2.0353,31280.876414,2.03550000,2.03730000,2.03140000,2.03530000,263332.30000000,2.0362,2.0399,2.0362,2.0399,3088.74290525,2.0356,2.0376,2.0313,2.0357,170177.29,2.035,2.038,2.031,2.035,264580.64618400,2.03455,2.0375,2.03332,2.036,3871.24557525
2025-12-07 22:12,2.0356,2.0357,2.0271,2.0274,123052.713375,2.03530000,2.03540000,2.02670000,2.02760000,221897.90000000,2.0357,2.0357,2.029,2.029,5104.0,2.0357,2.0357,2.0267,2.0279,118084.15,2.035,2.035,2.027,2.027,224236.84831300,2.03352,2.03399,2.02823,2.02823,33968.0972573
2025-12-07 22:13,2.0275,2.028,2.0241,2.0277,97397.338111,2.02770000,2.02790000,2.02420000,2.02770000,65021.80000000,2.0285,2.0289,2.0257,2.0289,3074.0,2.0279,2.0282,2.0239,2.0277,33973.71,2.027,2.028,2.024,2.028,261020.49709400,2.02821,2.02879,2.02485,2.02816,3445.05161025
2025-12-07 22:14,2.0278,2.0319,2.0278,2.0305,63627.467584,2.02770000,2.03180000,2.02770000,2.03030000,79279.60000000,2.0294,2.0314,2.0294,2.0314,36.0,2.0277,2.0322,2.0277,2.0305,35049.9,2.028,2.032,2.028,2.03,222529.45028100,2.02797,2.03203,2.02797,2.03125,1987.34999842
2025-12-07 22:15,2.0307,2.0328,2.0275,2.0311,74447.516637,2.03040000,2.03260000,2.02700000,2.03070000,241323.10000000,2.0305,2.0334,2.0297,2.0334,48.0,2.0305,2.0328,2.0269,2.0307,100154.24,2.031,2.032,2.027,2.03,139743.15205500,2.03048,2.03778,2.02875,2.03168,1479858.18889013
2025-12-07 22:16,2.0312,2.0319,2.0291,2.0319,54701.728051,2.03080000,2.03150000,2.02880000,2.03110000,250992.30000000,2.0318,2.0318,2.0318,2.0318,50.0,2.0307,2.0317,2.0285,2.0311,108535.63,2.031,2.031,2.029,2.031,176135.29611500,2.03167,2.03251,2.03,2.03168,38363.45856295
2025-12-07 22:17,2.0312,2.0344,2.03,2.0331,35062.724141,2.03120000,2.03380000,2.02970000,2.03300000,94205.60000000,2.0334,2.0358,2.0334,2.0347,1090.0,2.0311,2.0341,2.0298,2.0332,42253.94,2.032,2.034,2.03,2.033,134936.35990800,2.03303,2.03454,2.03171,2.03439,72933.14169115
2025-12-07 22:18,2.0334,2.0345,2.0269,2.027,82211.230844,2.03310000,2.03420000,2.02680000,2.02680000,170204.90000000,2.0335,2.0335,2.0299,2.0299,160.0,2.0332,2.0343,2.0269,2.027,91823.19,2.033,2.034,2.026,2.026,211881.11498800,2.03439,2.03481,2.02909,2.02909,43284.238954039996
2025-12-07 22:19,2.0264,2.0286,2.0248,2.0264,25281.754616,2.02680000,2.02860000,2.02500000,2.02660000,96772.40000000,2.0288,2.0297,2.0266,2.0287,2136.0,2.027,2.029,2.0249,2.0267,58351.76,2.026,2.028,2.025,2.027,135659.55090800,2.02822,2.02822,2.0267,2.02711,28766.485974680003
2025-12-07 22:20,2.0267,2.0269,2.0225,2.0238,246833.118075,2.02660000,2.02690000,2.02280000,2.02360000,239265.40000000,2.0269,2.0269,2.025,2.0252,166.74290525,2.0267,2.027,2.0225,2.0237,125934.14,2.027,2.027,2.023,2.023,60830.46944800,2.02648,2.02648,2.02372,2.02462,11165.853742450001
2025-12-07 22:21,2.0237,2.0262,2.0202,2.0262,115082.481424,2.02360000,2.02610000,2.02000000,2.02610000,148266.90000000,2.0248,2.0273,2.0222,2.0273,94.0,2.0237,2.0264,2.02,2.0264,61860.77,2.022,2.026,2.021,2.026,66753.85600900,2.02306,2.0304,2.02122,2.02389,497479.82448009
2025-12-07 22:22,2.0263,2.0288,2.0253,2.0253,64227.976875,2.02620000,2.02850000,2.02510000,2.02520000,129920.70000000,2.0274,2.0296,2.0274,2.0296,20.0,2.0264,2.0286,2.0252,2.0256,53119.49,2.027,2.028,2.025,2.026,7989.41550000,2.02703,2.02964,2.02634,2.02634,29134.34287914
2025-12-07 22:23,2.0252,2.0257,2.0225,2.0252,67856.04705,2.02520000,2.02540000,2.02230000,2.02530000,126735.40000000,2.0276,2.0276,2.0263,2.0263,48.0,2.0256,2.0258,2.0221,2.0255,69738.82,2.025,2.026,2.022,2.026,22734.68927900,2.02633,2.02633,2.02381,2.02576,23107.112734129998
2025-12-07 22:24,2.0253,2.0253,2.0223,2.0238,26537.329189,2.02520000,2.02520000,2.02200000,2.02320000,88196.60000000,,,,,,2.0255,2.0255,2.0222,2.0237,66230.06,2.025,2.025,2.023,2.023,5594.98302100,2.02595,2.02595,2.02331,2.02363,14602.0435303
2025-12-07 22:25,2.0238,2.029,2.0237,2.029,43030.192048,2.02320000,2.02860000,2.02320000,2.02860000,55345.50000000,2.0272,2.0287,2.0272,2.0287,74.0,2.0237,2.0287,2.0237,2.0287,83523.96,2.024,2.029,2.024,2.029,76329.70789300,2.0244,2.02939,2.0244,2.02938,21091.77885754
2025-12-07 22:26,2.0292,2.0374,2.0292,2.033,75029.873911,2.02870000,2.03650000,2.02870000,2.03280000,424155.90000000,2.0296,2.0361,2.0296,2.0361,48.0,2.0287,2.0362,2.0287,2.0327,128303.79,2.029,2.036,2.029,2.033,101930.38003800,2.02938,2.03707,2.02938,2.03409,28608.34030329
2025-12-07 22:27,2.0328,2.033,2.0293,2.0324,27471.845617,2.03290000,2.03290000,2.02920000,2.03210000,47887.00000000,2.0336,2.0336,2.0319,2.0319,56.0,2.0327,2.0327,2.0291,2.0319,19519.31,2.032,2.032,2.03,2.032,50207.07780200,2.03351,2.03351,2.03106,2.03306,32085.91852739
